,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
46,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
85,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AV,Cookie Dough,Staff 5,CuAV,N,N
481,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
131,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AX,Gummy Bears,Staff 6,GaAX,N,N
482,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AY,Fruit Pie,Staff 6,FPAY,N,N
260,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AZ,Cookie Dough,Staff 5,CuAZ,N,N
483,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
261,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AAB,Fruit Pie,Staff 4,FPAAB,N,N
484,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AAC,Fruit Pie,Staff 4,FPAAC,N,N
8,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AAD,Fruit Pie,Staff 1,FPAAD,N,N
211,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,A,Fruit Pie,Staff 1,FPA,N,N
47,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,B,Fruit Pie,Staff 1,FPB,N,N
48,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,C,Gummy Bears,Staff 6,GaC,N,N
485,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,D,Fruit Pie,Staff 1,FPD,N,N
132,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,E,Fruit Pie,Staff 3,FPE,N,N
168,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,F,Fruit Pie,Staff 3,FPF,N,N
212,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,G,Candy Canes,Staff 2,CnG,N,N
49,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,H,Candy Canes,Staff 2,CnH,N,N
9,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,I,Candy Canes,Staff 2,CnI,N,N
169,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
50,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,K,Fruit Pie,Staff 3,FPK,N,N
170,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,L,Fruit Pie,Staff 1,FPL,N,N
171,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,M,Candy Canes,Staff 2,CnM,N,N
10,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,N,Fruit Pie,Staff 4,FPN,N,N
486,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,O,Fruit Pie,Staff 3,FPO,N,N
262,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,P,Fruit Pie,Staff 4,FPP,N,N
172,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
86,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,R,Fruit Pie,Staff 3,FPR,N,N
51,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,S,Fruit Pie,Staff 1,FPS,N,N
487,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,T,Fruit Pie,Staff 1,FPT,Y,N
133,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,U,Fruit Pie,Staff 1,FPU,N,N
11,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,V,Cookie Dough,Staff 5,CuV,N,N
52,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,W,Fruit Pie,Staff 1,FPW,N,N
87,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,X,Cookie Dough,Staff 5,CuX,Y,N
53,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,Y,Gummy Bears,Staff 6,GaY,N,N
88,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,Z,Cookie Dough,Staff 4,CuZ,N,N
12,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AA,Cookie Dough,Staff 6,CuAA,N,N
89,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
13,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
134,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AD,Fruit Pie,Staff 3,FPAD,N,N
488,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
173,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
213,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AG,Gummy Bears,Staff 6,GaAG,N,N
135,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
263,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AI,Cookie Dough,Staff 5,CuAI,N,N
54,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AJ,Gummy Bears,Staff 6,GaAJ,N,N
264,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AK,Fruit Pie,Staff 6,FPAK,N,N
174,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
214,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AM,Candy Canes,Staff 2,CnAM,Y,Y
55,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AN,Cookie Dough,Staff 5,CuAN,Y,N
489,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
56,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
265,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
14,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AR,Fruit Pie,Staff 3,FPAR,N,N
266,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
490,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AT,Gummy Bears,Staff 6,GaAT,Y,Y
136,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
215,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
267,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
15,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AX,Gummy Bears,Staff 6,GaAX,N,N
268,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AY,Fruit Pie,Staff 6,FPAY,Y,Y
57,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AZ,Cookie Dough,Staff 5,CuAZ,N,N
491,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
175,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AAB,Fruit Pie,Staff 4,FPAAB,N,N
176,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AAC,Fruit Pie,Staff 4,FPAAC,N,N
58,2025-02-01 - 2025-02-07,2/1/2025,2/7/2025,AAD,Fruit Pie,Staff 1,FPAAD,N,N
59,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,A,Fruit Pie,Staff 1,FPA,N,N
216,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,B,Fruit Pie,Staff 1,FPB,N,N
16,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,C,Gummy Bears,Staff 6,GaC,N,N
269,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,D,Fruit Pie,Staff 1,FPD,N,N
60,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,E,Fruit Pie,Staff 3,FPE,N,N
177,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,F,Fruit Pie,Staff 3,FPF,N,N
178,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,G,Candy Canes,Staff 2,CnG,N,N
137,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,H,Candy Canes,Staff 2,CnH,N,N
270,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,I,Candy Canes,Staff 2,CnI,N,N
138,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
217,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,K,Fruit Pie,Staff 3,FPK,N,N
179,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,L,Fruit Pie,Staff 1,FPL,N,N
61,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,M,Candy Canes,Staff 2,CnM,N,N
62,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,N,Fruit Pie,Staff 4,FPN,Y,N
218,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,O,Fruit Pie,Staff 3,FPO,N,N
492,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,P,Fruit Pie,Staff 4,FPP,N,N
493,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
90,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,R,Fruit Pie,Staff 3,FPR,N,N
180,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,S,Fruit Pie,Staff 1,FPS,N,N
139,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,T,Fruit Pie,Staff 1,FPT,Y,Y
494,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,U,Fruit Pie,Staff 1,FPU,N,N
271,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,V,Cookie Dough,Staff 5,CuV,N,N
91,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,W,Fruit Pie,Staff 1,FPW,N,N
219,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,X,Cookie Dough,Staff 5,CuX,Y,N
92,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,Y,Gummy Bears,Staff 6,GaY,N,N
220,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,Z,Cookie Dough,Staff 4,CuZ,N,N
140,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AA,Cookie Dough,Staff 6,CuAA,N,N
221,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
141,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
93,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AD,Fruit Pie,Staff 3,FPAD,N,N
222,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AE,Candy Canes,Staff 2,CnAE,Y,Y
181,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
63,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AG,Gummy Bears,Staff 6,GaAG,N,N
495,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
142,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AI,Cookie Dough,Staff 5,CuAI,N,N
94,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AJ,Gummy Bears,Staff 6,GaAJ,N,N
496,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AK,Fruit Pie,Staff 6,FPAK,N,N
497,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AL,Gummy Bears,Staff 6,GaAL,Y,Y
498,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AM,Candy Canes,Staff 2,CnAM,Y,Y
223,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AN,Cookie Dough,Staff 5,CuAN,Y,N
182,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
183,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
272,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
17,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AR,Fruit Pie,Staff 3,FPAR,N,N
224,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
273,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AT,Gummy Bears,Staff 6,GaAT,Y,N
499,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
500,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
274,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
275,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AX,Gummy Bears,Staff 6,GaAX,N,N
276,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AY,Fruit Pie,Staff 6,FPAY,Y,Y
225,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AZ,Cookie Dough,Staff 5,CuAZ,N,N
277,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
143,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AAB,Fruit Pie,Staff 4,FPAAB,N,N
64,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AAC,Fruit Pie,Staff 4,FPAAC,N,N
144,2025-02-08 - 2025-02-14,2/8/2025,2/14/2025,AAD,Fruit Pie,Staff 1,FPAAD,N,N
65,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,A,Fruit Pie,Staff 1,FPA,N,N
145,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,B,Fruit Pie,Staff 1,FPB,N,N
146,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,C,Gummy Bears,Staff 6,GaC,N,N
226,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,D,Fruit Pie,Staff 1,FPD,N,N
18,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,E,Fruit Pie,Staff 3,FPE,N,N
278,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,F,Fruit Pie,Staff 3,FPF,N,N
19,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,G,Candy Canes,Staff 2,CnG,N,N
184,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,H,Candy Canes,Staff 2,CnH,N,N
95,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,I,Candy Canes,Staff 2,CnI,N,N
20,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,J,Fruit Pie,Staff 3,FPJ,Y,Y
279,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,K,Fruit Pie,Staff 3,FPK,N,N
21,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,L,Fruit Pie,Staff 1,FPL,N,N
22,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,M,Candy Canes,Staff 2,CnM,N,N
66,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,N,Fruit Pie,Staff 4,FPN,Y,N
96,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,O,Fruit Pie,Staff 3,FPO,N,N
501,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,P,Fruit Pie,Staff 4,FPP,N,N
280,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
23,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,R,Fruit Pie,Staff 3,FPR,N,N
24,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,S,Fruit Pie,Staff 1,FPS,N,N
147,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,T,Fruit Pie,Staff 1,FPT,Y,N
281,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,U,Fruit Pie,Staff 1,FPU,N,N
97,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,V,Cookie Dough,Staff 5,CuV,N,N
25,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,W,Fruit Pie,Staff 1,FPW,N,N
282,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,X,Cookie Dough,Staff 5,CuX,N,N
227,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,Y,Gummy Bears,Staff 6,GaY,N,N
283,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,Z,Cookie Dough,Staff 4,CuZ,N,N
185,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AA,Cookie Dough,Staff 6,CuAA,N,N
26,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
228,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
229,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AD,Fruit Pie,Staff 3,FPAD,N,N
98,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AE,Candy Canes,Staff 2,CnAE,Y,N
27,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
28,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AG,Gummy Bears,Staff 6,GaAG,N,N
284,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
186,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AI,Cookie Dough,Staff 5,CuAI,N,N
29,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AJ,Gummy Bears,Staff 6,GaAJ,N,N
285,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AK,Fruit Pie,Staff 6,FPAK,N,N
502,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
187,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AM,Candy Canes,Staff 2,CnAM,Y,Y
30,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AN,Cookie Dough,Staff 5,CuAN,Y,N
286,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
148,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
503,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
188,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AR,Fruit Pie,Staff 3,FPAR,N,N
149,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
150,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AT,Gummy Bears,Staff 6,GaAT,N,N
99,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AU,Cookie Dough,Staff 5,CuAU,N,N
504,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AV,Cookie Dough,Staff 5,CuAV,Y,N
505,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AW,Fruit Pie,Staff 1,FPAW,N,N
151,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AX,Gummy Bears,Staff 6,GaAX,N,N
506,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AY,Fruit Pie,Staff 6,FPAY,N,N
287,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AZ,Cookie Dough,Staff 5,CuAZ,N,N
189,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AAA,Cookie Dough,Staff 5,CuAAA,N,N
288,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AAB,Fruit Pie,Staff 4,FPAAB,N,N
507,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AAC,Fruit Pie,Staff 4,FPAAC,N,N
31,2025-02-15 - 2025-02-21,2/15/2025,2/21/2025,AAD,Fruit Pie,Staff 1,FPAAD,N,N
100,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,A,Fruit Pie,Staff 1,FPA,Y,Y
101,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,B,Fruit Pie,Staff 1,FPB,Y,N
508,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,C,Gummy Bears,Staff 6,GaC,Y,Y
190,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,D,Fruit Pie,Staff 1,FPD,Y,N
67,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,E,Fruit Pie,Staff 3,FPE,Y,Y
152,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,F,Fruit Pie,Staff 3,FPF,Y,N
102,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,G,Candy Canes,Staff 2,CnG,Y,N
32,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,H,Candy Canes,Staff 2,CnH,Y,N
153,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,I,Candy Canes,Staff 2,CnI,Y,N
154,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,J,Fruit Pie,Staff 3,FPJ,Y,N
191,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,K,Fruit Pie,Staff 3,FPK,Y,N
68,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,L,Fruit Pie,Staff 1,FPL,Y,N
69,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,M,Candy Canes,Staff 2,CnM,Y,N
230,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,N,Fruit Pie,Staff 4,FPN,Y,N
289,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,O,Fruit Pie,Staff 3,FPO,N,N
231,2025-02-22 - 2025-02-28,2/22/2025,2/28/2025,P,Fruit Pie,Staff 4,FPP,N,N
