,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
21,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,N,N
22,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
23,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,N,N
24,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,N,N
25,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,N,N
26,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,MAINCHANCE/GCN DROP-IN CENTER,Drop-in Center,Mohammed,DI02,N,N
27,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,N,N
28,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,N,N
29,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,N,N
30,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,N
31,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
32,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,Y,N
33,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,Y,N
34,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,Project Hospitality Outreach Team,Outreach Team ,Elena,,Y,Y
35,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
36,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,N,N
37,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,BRC RECEPTION,Safe Haven,Mohammed,M0B1,Y,N
38,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,BRC Outreach Team,Outreach Team ,Elena,,Y,N
39,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,COMUNILIFE SAFE HAVEN II (MONROE AVENUE),Safe Haven,Ernest,X016,N,N
40,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,Y,N
41,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
42,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,N,N
43,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,N,N
44,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,N,N
45,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,Project Hospitality Outreach Team,Outreach Team ,Elena,,N,N
46,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
47,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,N,N
48,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
49,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,N,N
50,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,N,N
51,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,N,N
52,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,N,N
53,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,N,N
54,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,N,N
55,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,N
56,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,N,N
57,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,VANDERBILT (YMCA) STABILIZATION,Stabilization,Maggie,XS01,N,N
58,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
59,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,N,N
60,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,N,N
61,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
62,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
63,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,N,N
64,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,N,N
65,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,N,N
66,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
67,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,Y
68,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,Y,N
69,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BronxWorks Outreach Team,Outreach Team ,Elena,,Y,N
70,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,Y,N
71,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,Y,N
72,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,Y,N
73,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,Y,N
74,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,N,N
75,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,Y,N
76,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,N
77,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,N
78,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,Y,N
79,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
80,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,Y,N
81,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
82,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
83,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,N,N
84,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,N,N
85,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,TOV STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS04,N,N
86,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,N,N
87,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,INFINITI STABILIZATION,Stabilization,Maggie,BH13,Y,N
88,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,LONG ACRE STABILIZATION - CUCS,Stabilization,Ernest,M096,N,N
89,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,MAINCHANCE/GCN DROP-IN CENTER,Drop-in Center,Mohammed,DI02,N,N
90,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,CONTINENTAL SAFE HAVEN,Safe Haven,Mohammed,B021,N,N
91,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,N,N
92,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,N,N
93,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,N,N
94,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,N,N
95,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,N,N
96,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,CARPENTER HOUSE SAFE HAVEN,Safe Haven,Mohammed,S014,N,N
97,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,N,N
98,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,MOC Outreach Team,Outreach Team ,Elena,,Y,N
99,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
100,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,Y
101,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
102,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BRC Outreach Team,Outreach Team ,Elena,,Y,N
103,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,Y,N
104,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,OLIVIERI DROP IN CENTER,Drop-in Center,Cindy,DI04,Y,N
105,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,Y,N
106,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,THE GATHERING PLACE,Drop-in Center,Cindy,DI05,Y,N
107,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
108,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,Y,N
109,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,COMUNILIFE E. 146 STREET SAFE HAVEN I,Safe Haven,Ernest,X018,Y,N
110,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,Y,N
111,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,UNION HALL SAFE HAVEN,Safe Haven,Cindy,QSH4,N,N
112,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,Y
113,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,Y,N
114,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,MOC Outreach Team,Outreach Team ,Elena,,Y,N
115,2025-03-08 - 2025-03-14,2025-03-08,2025-03-14,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
116,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
117,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
118,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,Y,N
119,2025-03-15 - 2025-03-21,2025-03-15,2025-03-21,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
120,2025-03-22 - 2025-03-28,2025-03-22,2025-03-28,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,Y
121,2025-03-22 - 2025-03-28,2025-03-22,2025-03-28,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,Y,N
122,2025-03-22 - 2025-03-28,2025-03-22,2025-03-28,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
123,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,BRC Outreach Team,Outreach Team ,Elena,,N,N
124,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,N,N
125,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
126,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,MOC Outreach Team,Outreach Team ,Elena,,Y,Y
127,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,N,N
128,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,N,N
129,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,N,N
130,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,THE GATHERING PLACE,Drop-in Center,Cindy,DI05,N,N
131,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,N,N
132,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,N,N
133,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
134,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,MIDWOOD SAFE HAVEN,Safe Haven,Mohammed,B015,N,N
135,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,N,N
136,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,THE HOLLY STABILIZATION,Stabilization,Maggie,MS03,N,N
137,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,N,N
138,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
139,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,Y,Y
140,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,N,N
141,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
142,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,N,N
143,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,WASHINGTON STREET SAFE HAVEN,Safe Haven,Ernest,M035,N,N
144,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
145,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,127TH STREET KELLY SAFE HAVEN,Safe Haven,Brenita,M018,N,N
146,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
147,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,Y,N
148,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,N,N
149,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,THE BAXTER SAFE HAVEN,Safe Haven,Mohammed,QSH3,N,N
150,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,THE GATHERING PLACE,Drop-in Center,Cindy,DI05,N,N
151,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,N,N
152,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BRC RECEPTION,Safe Haven,Mohammed,M0B1,Y,N
153,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,Y,N
154,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
155,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,Y,N
156,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PAUL'S PLACE SAFE HAVEN,Safe Haven,Cindy,M021,Y,Y
157,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,Y,Y
158,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,STEBBINS STABILIZATION,Stabilization,Brenita,XS02,Y,Y
159,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,TRAVELER'S SAFE HAVEN,Safe Haven,Brenita,M014,N,N
160,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,WASHINGTON STREET SAFE HAVEN,Safe Haven,Ernest,M035,Y,N
161,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
162,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,Y,Y
163,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,N
164,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,LIVING ROOM DROP-IN CENTER,Drop-in Center,Cindy,DI01,Y,Y
165,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,N,N
166,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,EAST FLATBUSH SAFE HAVEN,Safe Haven,Brenita,B016,N,N
167,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,N,N
168,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BRC RECEPTION,Safe Haven,Mohammed,M0B1,N,N
169,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,N
170,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,N,N
171,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
172,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,COMUNILIFE SAFE HAVEN II (MONROE AVENUE),Safe Haven,Ernest,X016,N,N
173,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,N,N
174,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,PROJECT HOSPITALITY DROP-IN,Drop-in Center,Cindy,DI03,N,N
175,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,WASHINGTON STREET SAFE HAVEN,Safe Haven,Ernest,M035,N,N
176,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,WEBSTER SAFE HAVEN,Safe Haven,Ernest,XS03,N,N
177,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BRC RECEPTION,Safe Haven,Mohammed,M0B1,N,N
178,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BRC Outreach Team,Outreach Team ,Elena,,N,N
179,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,BRONXWORKS SAFE HAVEN - LIVING ROOM,Safe Haven,Brenita,X014,N,N
180,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,CROMWELL AVENUE SAFE HAVEN,Safe Haven,Brenita,V014,N,N
181,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,OLD BROADWAY SAFE HAVEN,Safe Haven,Ernest,M022,N,N
182,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
183,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,QUEENS DROP IN CENTER,Drop-in Center,Cindy,DI06,N,N
184,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,Breaking Ground Brooklyn Outreach Team,Outreach Team ,Elena,,N,N
185,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,N,N
186,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,PARKSIDE STABILIZATION,Stabilization,Maggie,BS04,N,N
187,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,Project Hospitality Outreach Team,Outreach Team ,Elena,,Y,Y
188,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,N,N
189,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,VUE HOTEL STABILIZATION,Stabilization,Maggie,MV01,N,N
190,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BG AT 83RD STREET,Safe Haven,Brenita,MS01,Y,N
191,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,BREAKING GROUND WILLIAMSBURG,Safe Haven,Mohammed,B019,Y,N
192,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,EAST HARLEM SAFE HAVEN,Safe Haven,Brenita,MS04,N,N
193,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,HEGEMAN SAFE HAVEN,Safe Haven,Brenita,B014,N,N
194,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PARK OVERLOOK STABILIZATION,Stabilization,Maggie,XS08,Y,Y
195,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PAUL'S PLACE DROP IN,Drop-in Center,Cindy,DI08,Y,Y
196,2025-02-22 - 2025-02-28,2025-02-22,2025-02-28,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,Y
197,2025-03-01 - 2025-03-07,2025-03-01,2025-03-07,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
